"stateFIPS","State","countyFIPS","County","Year","Value","Data Comment",
"01","Alabama","01001","Autauga","2019","55,869","",
"01","Alabama","01003","Baldwin","2019","223,234","",
"01","Alabama","01005","Barbour","2019","24,686","",
"01","Alabama","01007","Bibb","2019","22,394","",
"01","Alabama","01009","Blount","2019","57,826","",
"01","Alabama","01011","Bullock","2019","10,101","",
"01","Alabama","01013","Butler","2019","19,448","",
"01","Alabama","01015","Calhoun","2019","113,605","",
"01","Alabama","01017","Chambers","2019","33,254","",
"01","Alabama","01019","Cherokee","2019","26,196","",
"01","Alabama","01021","Chilton","2019","44,428","",
"01","Alabama","01023","Choctaw","2019","12,589","",
"01","Alabama","01025","Clarke","2019","23,622","",
"01","Alabama","01027","Clay","2019","13,235","",
"01","Alabama","01029","Cleburne","2019","14,910","",
"01","Alabama","01031","Coffee","2019","52,342","",
"01","Alabama","01033","Colbert","2019","55,241","",
"01","Alabama","01035","Conecuh","2019","12,067","",
"01","Alabama","01037","Coosa","2019","10,663","",
"01","Alabama","01039","Covington","2019","37,049","",
"01","Alabama","01041","Crenshaw","2019","13,772","",
"01","Alabama","01043","Cullman","2019","83,768","",
"01","Alabama","01045","Dale","2019","49,172","",
"01","Alabama","01047","Dallas","2019","37,196","",
"01","Alabama","01049","DeKalb","2019","71,513","",
"01","Alabama","01051","Elmore","2019","81,209","",
"01","Alabama","01053","Escambia","2019","36,633","",
"01","Alabama","01055","Etowah","2019","102,268","",
"01","Alabama","01057","Fayette","2019","16,302","",
"01","Alabama","01059","Franklin","2019","31,362","",
"01","Alabama","01061","Geneva","2019","26,271","",
"01","Alabama","01063","Greene","2019","8,111","",
"01","Alabama","01065","Hale","2019","14,651","",
"01","Alabama","01067","Henry","2019","17,205","",
"01","Alabama","01069","Houston","2019","105,882","",
"01","Alabama","01071","Jackson","2019","51,626","",
"01","Alabama","01073","Jefferson","2019","658,573","",
"01","Alabama","01075","Lamar","2019","13,805","",
"01","Alabama","01077","Lauderdale","2019","92,729","",
"01","Alabama","01079","Lawrence","2019","32,924","",
"01","Alabama","01081","Lee","2019","164,542","",
"01","Alabama","01083","Limestone","2019","98,915","",
"01","Alabama","01085","Lowndes","2019","9,726","",
"01","Alabama","01087","Macon","2019","18,068","",
"01","Alabama","01089","Madison","2019","372,909","",
"01","Alabama","01091","Marengo","2019","18,863","",
"01","Alabama","01093","Marion","2019","29,709","",
"01","Alabama","01095","Marshall","2019","96,774","",
"01","Alabama","01097","Mobile","2019","413,210","",
"01","Alabama","01099","Monroe","2019","20,733","",
"01","Alabama","01101","Montgomery","2019","226,486","",
"01","Alabama","01103","Morgan","2019","119,679","",
"01","Alabama","01105","Perry","2019","8,923","",
"01","Alabama","01107","Pickens","2019","19,930","",
"01","Alabama","01109","Pike","2019","33,114","",
"01","Alabama","01111","Randolph","2019","22,722","",
"01","Alabama","01113","Russell","2019","57,961","",
"01","Alabama","01117","Shelby","2019","217,702","",
"01","Alabama","01115","St. Clair","2019","89,512","",
"01","Alabama","01119","Sumter","2019","12,427","",
"01","Alabama","01121","Talladega","2019","79,978","",
"01","Alabama","01123","Tallapoosa","2019","40,367","",
"01","Alabama","01125","Tuscaloosa","2019","209,355","",
"01","Alabama","01127","Walker","2019","63,521","",
"01","Alabama","01129","Washington","2019","16,326","",
"01","Alabama","01131","Wilcox","2019","10,373","",
"01","Alabama","01133","Winston","2019","23,629","",
"02","Alaska","02013","Aleutians East","2019","3,337","",
"02","Alaska","02016","Aleutians West","2019","5,634","",
"02","Alaska","02020","Anchorage","2019","288,000","",
"02","Alaska","02050","Bethel","2019","18,386","",
"02","Alaska","02060","Bristol Bay","2019","836","",
"02","Alaska","02068","Denali","2019","2,097","",
"02","Alaska","02070","Dillingham","2019","4,916","",
"02","Alaska","02090","Fairbanks North Star","2019","96,849","",
"02","Alaska","02100","Haines","2019","2,530","",
"02","Alaska","02105","HOONAH-ANGOON CENSUS AREA","2019","2,148","",
"02","Alaska","02110","Juneau","2019","31,974","",
"02","Alaska","02122","Kenai Peninsula","2019","58,708","",
"02","Alaska","02130","Ketchikan Gateway","2019","13,901","",
"02","Alaska","02150","Kodiak Island","2019","12,998","",
"02","Alaska","02164","Lake and Peninsula","2019","1,592","",
"02","Alaska","02170","Matanuska-Susitna","2019","108,317","",
"02","Alaska","02180","Nome","2019","10,004","",
"02","Alaska","02185","North Slope","2019","9,832","",
"02","Alaska","02188","Northwest Arctic","2019","7,621","",
"02","Alaska","02195","PETERSBURG CENSUS AREA","2019","3,266","",
"02","Alaska","02198","PRINCE OF WALES-HYDER CENSUS AREA","2019","6,203","",
"02","Alaska","02220","Sitka","2019","8,493","",
"02","Alaska","02230","SKAGWAY MUNICIPALITY","2019","1,183","",
"02","Alaska","02240","Southeast Fairbanks","2019","6,893","",
"02","Alaska","02261","Valdez-Cordova","2019","9,202","",
"02","Alaska","02270","Wade Hampton","2019","8,314","",
"02","Alaska","02275","WRANGELL CITY AND BURROUGH","2019","2,502","",
"02","Alaska","02282","Yakutat","2019","579","",
"02","Alaska","02290","Yukon-Koyukuk","2019","5,230","",
"04","Arizona","04001","Apache","2019","71,887","",
"04","Arizona","04003","Cochise","2019","125,922","",
"04","Arizona","04005","Coconino","2019","143,476","",
"04","Arizona","04007","Gila","2019","54,018","",
"04","Arizona","04009","Graham","2019","38,837","",
"04","Arizona","04011","Greenlee","2019","9,498","",
"04","Arizona","04012","La Paz","2019","21,108","",
"04","Arizona","04013","Maricopa","2019","4,485,414","",
"04","Arizona","04015","Mohave","2019","212,181","",
"04","Arizona","04017","Navajo","2019","110,924","",
"04","Arizona","04019","Pima","2019","1,047,279","",
"04","Arizona","04021","Pinal","2019","462,789","",
"04","Arizona","04023","Santa Cruz","2019","46,498","",
